output_filename,object_name,variant,canvas_size,canvas_occupancy,subject_description,primary_colors,view,source_set,source_id,asset_id,recipe_id,merge_recipe,recipe_role,recipe_type
017_martini_cocktail.png,칵테일,삼각형 잔,작음,"제한축 기준 목표 384px (약 37.5%, 허용 35–40%)","넓은 삼각형 볼과 가느다란 줄기, 둥근 받침으로 이루어진 칵테일 잔 한 개. 음료와 작은 과일 장식 하나가 담겨 있음.","연두색, 노란색, 빨간색 포인트",정면 3/4 시점,CSV 1,017,csv1-017,,,,
018_pizza_box.png,피자,피자 박스 형태,아주큼,"제한축 기준 실제 969px (약 94.6%, 허용 92–97%)",뚜껑이 활짝 열린 정사각형 피자 상자 한 개 안에 치즈와 토마토 토핑이 올라간 둥근 피자 한 판이 보이는 모습. 상자와 피자는 하나의 결합된 물건으로 표현됨.,"베이지색, 빨간색, 노란색, 초록색 포인트",살짝 위에서 바라본 3/4 시점,CSV 1,018,csv1-018,,,,
019_pizza_slice.png,피자,삼각형 모양,작음,"제한축 기준 목표 384px (약 37.5%, 허용 35–40%)","치즈와 토마토소스, 작은 토핑이 올라간 삼각형 피자 조각 한 개. 뒤쪽의 빵 테두리와 늘어지지 않은 치즈가 명확히 보임.","노란색, 빨간색, 베이지색, 초록색 포인트",살짝 위에서 바라본 3/4 시점,CSV 1,019,csv1-019,,,,
020_tumbler.png,텀블러,일반,작음,"제한축 기준 목표 384px (약 37.5%, 허용 35–40%)",뚜껑이 있는 길쭉한 원통형 텀블러 한 개. 몸통은 단순하고 매끈하며 작은 마개 부분만 표시됨.,"청록색, 짙은 초록색, 회색 포인트",정면 3/4 시점,CSV 1,020,csv1-020,,,,
021_french_fries.png,감자튀김,일반,작음,"제한축 기준 목표 384px (약 37.5%, 허용 35–40%)",윗부분이 열린 작은 종이 용기 한 개에 여러 개의 굵은 감자튀김이 꽂혀 있는 모습. 용기와 감자튀김은 하나의 음식 아이콘으로 표현됨.,"노란색, 빨간색",정면 3/4 시점,CSV 1,021,csv1-021,,,,
022_triangle_gimbap.png,삼각김밥,일반,아주작음,"제한축 기준 목표 205px (약 20%, 허용 18–22%)",삼각형 밥을 검은 김이 감싸고 있는 삼각김밥 한 개. 포장지나 상표 글자는 없고 밥과 김의 경계가 단순하게 보임.,"흰색, 검정색, 연두색 포인트",정면 3/4 시점,CSV 1,022,csv1-022,,,,
023_tiger_swallowtail.png,호랑나비,일반,아주작음,"제한축 기준 목표 205px (약 20%, 허용 18–22%)","좌우 날개를 활짝 편 호랑나비 한 마리. 노란 날개에 굵은 검은 줄무늬, 뒷날개의 작은 꼬리 돌기가 명확히 보임.","노란색, 검정색, 파란색과 빨간색 포인트",정면,CSV 1,023,csv1-023,,,,
024_alarm_clock.png,알람시계,일반,작음,"제한축 기준 목표 384px (약 37.5%, 허용 35–40%)",둥근 시계 몸통 위에 종 두 개가 달린 클래식 알람시계 한 개. 짧은 두 다리와 단순한 시곗바늘이 있음.,"하늘색, 노란색, 흰색, 검정색",정면 3/4 시점,CSV 1,024,csv1-024,,,,
025_christmas_tree.png,크리스마스 트리,일반,큼,"제한축 기준 목표 824px (약 80.5%, 허용 78–83%)","세 단 정도의 삼각형 가지가 겹쳐진 작은 크리스마스 트리 한 그루. 꼭대기 별 하나와 둥근 장식 몇 개, 짧은 나무줄기가 있음.","초록색, 노란색, 빨간색, 파란색 포인트",정면,CSV 1,025,csv1-025,,,,
026_sunglasses.png,선글라스,일반,작음,"제한축 기준 목표 384px (약 37.5%, 허용 35–40%)","둥근 모서리의 검은 렌즈 두 개와 코받침, 양쪽 안경다리로 이루어진 선글라스 한 개.","검정색, 짙은 회색, 갈색 포인트",정면 3/4 시점,CSV 1,026,csv1-026,,,,
027_cricket.png,귀뚜라미,일반,아주작음,"제한축 기준 목표 205px (약 20%, 허용 18–22%)","굽은 긴 뒷다리, 짧은 앞다리, 긴 더듬이 두 개가 있는 귀뚜라미 한 마리. 몸의 마디는 최소한으로 단순화함.","연두색, 짙은 초록색, 갈색 포인트",측면 3/4 시점,CSV 1,027,csv1-027,,,,
028_beer.png,맥주,일반,작음,"제한축 기준 목표 384px (약 37.5%, 허용 35–40%)",손잡이가 달린 투명한 맥주잔 한 개에 황금색 맥주가 담기고 위에 흰 거품이 풍성하게 올라온 모습.,"황금색, 노란색, 흰색, 검정색 외곽선",정면 3/4 시점,CSV 1,028,csv1-028,,,,
029_americano.png,아메리카노,일반,작음,"제한축 기준 목표 384px (약 37.5%, 허용 35–40%)",손잡이가 달린 둥근 커피잔 한 개에 짙은 아메리카노가 담긴 모습. 잔 위로 가는 김 두 줄이 올라옴.,"흰색, 짙은 갈색, 베이지색 포인트",살짝 위에서 바라본 3/4 시점,CSV 1,029,csv1-029,,,,
001_bicycle.png,자전거,일반,큼,"제한축 기준 목표 824px (약 80.5%, 허용 78–83%)","둥근 바퀴 두 개와 단순한 삼각형 프레임, 안장, 페달, 굽은 손잡이가 있는 자전거 한 대. 체인과 기어는 최소한의 선으로만 표현함.","하늘색, 노란색, 검정색, 회색 포인트",측면,CSV 2,001,csv2-001,,,,
002_refrigerator.png,냉장고,일반,큼,"제한축 기준 목표 824px (약 80.5%, 허용 78–83%)",위아래 문이 나뉜 둥근 모서리의 가정용 냉장고 한 대. 각 문에 짧고 굵은 손잡이가 있으며 문은 모두 닫혀 있음.,"연한 민트색, 흰색, 회색 포인트",정면 3/4 시점,CSV 2,002,csv2-002,,,,
003_washing_machine.png,세탁기,드럼형,보통,"제한축 기준 목표 742px (약 72.5%, 허용 70–75%)",앞면에 크고 둥근 투명 문이 있는 드럼 세탁기 한 대. 상단에는 단순한 원형 다이얼과 작은 버튼 두세 개만 있음.,"흰색, 하늘색, 회색, 검정색 포인트",정면 3/4 시점,CSV 2,003,csv2-003,,,,
004_microwave.png,전자레인지,일반,보통,"제한축 기준 목표 742px (약 72.5%, 허용 70–75%)",둥근 모서리의 직사각형 전자레인지 한 대. 앞면의 어두운 유리문과 한쪽의 원형 조절 다이얼 두 개가 명확하게 구분됨.,"연한 노란색, 짙은 회색, 흰색 포인트",정면 3/4 시점,CSV 2,004,csv2-004,,,,
005_electric_kettle.png,전기주전자,일반,작음,"제한축 기준 목표 384px (약 37.5%, 허용 35–40%)","통통한 몸통에 뾰족한 주둥이와 굽은 손잡이, 닫힌 뚜껑이 있는 전기주전자 한 개. 전원 받침은 몸통 아래에 붙어 있음.","빨간색, 분홍색, 회색, 검정색 포인트",측면 3/4 시점,CSV 2,005,csv2-005,,,,
007_rubber_gloves.png,고무장갑,한 쌍,작음,"제한축 기준 목표 384px (약 37.5%, 허용 35–40%)",손가락 다섯 개와 긴 손목 부분이 분명한 고무장갑 한 쌍. 두 장갑이 자연스럽게 살짝 겹쳐져 하나의 짝으로 보임.,"밝은 노란색, 주황색 포인트",정면,CSV 2,007,csv2-007,,,,
008_shampoo_bottle.png,샴푸통,펌프형,작음,"제한축 기준 목표 384px (약 37.5%, 허용 35–40%)",둥근 어깨의 길쭉한 샴푸 용기 한 개. 위에는 눌러 쓰는 짧은 펌프가 있고 몸통에는 글자나 상표 없이 작은 물방울 모양만 있음.,"연한 보라색, 분홍색, 흰색 포인트",정면 3/4 시점,CSV 2,008,csv2-008,,,,
009_school_backpack.png,책가방,일반,보통,"제한축 기준 목표 742px (약 72.5%, 허용 70–75%)","둥근 모서리의 네모난 책가방 한 개. 큰 앞주머니와 지퍼선, 위쪽 손잡이, 양옆으로 살짝 보이는 어깨끈이 있음.","남색, 하늘색, 노란색 포인트",정면 3/4 시점,CSV 2,009,csv2-009,,,,
010_sneakers.png,운동화,한 켤레,작음,"제한축 기준 목표 384px (약 37.5%, 허용 35–40%)","둥근 앞코와 두꺼운 밑창, 단순한 신발끈이 있는 운동화 한 켤레. 두 짝이 같은 방향으로 자연스럽게 나란히 놓여 있음.","흰색, 하늘색, 빨간색, 회색 포인트",측면 3/4 시점,CSV 2,010,csv2-010,,,,
011_wool_hat.png,털모자,방울 달린 형태,작음,"제한축 기준 목표 384px (약 37.5%, 허용 35–40%)","접힌 챙과 둥근 머리 부분, 꼭대기의 복슬한 방울 하나가 있는 겨울 털모자 한 개. 짜임은 짧은 세로선 몇 개로만 표현함.","분홍색, 자주색, 흰색 포인트",정면 3/4 시점,CSV 2,011,csv2-011,,,,
012_scarf.png,목도리,일반,보통,"제한축 기준 목표 742px (약 72.5%, 허용 70–75%)",폭이 넓고 부드럽게 한 번 접힌 목도리 한 개. 양쪽 끝에는 짧은 술이 여러 개 달려 있으며 전체 형태가 명확히 보임.,"주황색, 노란색, 빨간색 포인트",살짝 위에서 바라본 정면,CSV 2,012,csv2-012,,,,
013_flashlight.png,손전등,일반,작음,"제한축 기준 목표 384px (약 37.5%, 허용 35–40%)",앞부분이 넓고 손잡이 쪽으로 좁아지는 원통형 손전등 한 개. 앞의 둥근 렌즈와 몸통의 큰 전원 버튼 하나가 보임.,"노란색, 주황색, 짙은 회색, 하늘색 포인트",측면 3/4 시점,CSV 2,013,csv2-013,,,,
014_binoculars.png,쌍안경,일반,작음,"제한축 기준 목표 384px (약 37.5%, 허용 35–40%)",같은 크기의 원통 두 개가 가운데 연결부로 붙은 쌍안경 한 개. 앞쪽의 둥근 렌즈 두 개와 중앙 초점 조절부가 있음.,"짙은 초록색, 검정색, 하늘색 포인트",정면 3/4 시점,CSV 2,014,csv2-014,,,,
015_watering_can.png,물뿌리개,일반,보통,"제한축 기준 목표 742px (약 72.5%, 허용 70–75%)",둥근 물통 몸체에 위쪽의 큰 손잡이와 옆으로 길게 나온 주둥이가 있는 물뿌리개 한 개. 주둥이 끝에는 둥근 물뿌리개 헤드가 있음.,"밝은 초록색, 짙은 초록색, 노란색 포인트",측면 3/4 시점,CSV 2,015,csv2-015,,,,
016_toy_train.png,장난감기차,증기기관차형,작음,"제한축 기준 목표 384px (약 37.5%, 허용 35–40%)","짧고 통통한 증기기관차 모양의 장난감 기차 한 대. 큰 바퀴 세 개, 짧은 굴뚝, 둥근 지붕이 있으며 객차는 없음.","빨간색, 파란색, 노란색, 검정색 포인트",측면 3/4 시점,CSV 2,016,csv2-016,,,,
017_dinosaur_toy.png,공룡인형,티라노사우루스형,작음,"제한축 기준 목표 384px (약 37.5%, 허용 35–40%)","큰 머리와 짧은 앞다리, 굵은 뒷다리, 긴 꼬리를 가진 티라노사우루스 모양의 봉제인형 한 개. 천 조각의 이음선만 짧게 표현함.","연두색, 짙은 초록색, 노란색 포인트",측면 3/4 시점,CSV 2,017,csv2-017,,,,
018_soccer_ball.png,축구공,일반,작음,"제한축 기준 목표 384px (약 37.5%, 허용 35–40%)",둥근 공 표면에 검은 오각형과 흰색 면이 단순하게 이어진 축구공 한 개. 무늬는 알아보기 쉬울 정도로만 간결하게 표현함.,"흰색, 검정색",정면,CSV 2,018,csv2-018,,,,
019_badminton_racket.png,배드민턴채,일반,보통,"제한축 기준 목표 742px (약 72.5%, 허용 70–75%)","타원형 테두리와 성긴 격자 줄, 길고 가는 자루, 둥근 손잡이가 있는 배드민턴 라켓 한 개.","하늘색, 흰색, 짙은 갈색 포인트",정면 3/4 시점,CSV 2,019,csv2-019,,,,
020_roller_skates.png,롤러스케이트,한 켤레,작음,"제한축 기준 목표 384px (약 37.5%, 허용 35–40%)",발목까지 오는 신발 아래에 작은 바퀴 네 개가 달린 롤러스케이트 한 켤레. 두 짝이 살짝 어긋나게 나란히 놓여 있음.,"분홍색, 하늘색, 노란색, 흰색 포인트",측면 3/4 시점,CSV 2,020,csv2-020,,,,
021_sunflower.png,해바라기,일반,큼,"제한축 기준 목표 824px (약 80.5%, 허용 78–83%)",크고 둥근 갈색 꽃 중심을 노란 꽃잎 여러 장이 둘러싼 해바라기 한 송이. 곧은 줄기와 넓은 잎 두 장이 있음.,"노란색, 갈색, 밝은 초록색, 짙은 초록색",정면,CSV 2,021,csv2-021,,,,
022_cactus.png,선인장,화분형,작음,"제한축 기준 목표 384px (약 37.5%, 허용 35–40%)",둥근 작은 화분에 심긴 통통한 기둥 모양 선인장 한 개. 양옆으로 짧은 가지가 하나씩 나오고 가시는 짧은 선 몇 개로만 표현함.,"밝은 초록색, 짙은 초록색, 주황색, 베이지색",정면 3/4 시점,CSV 2,022,csv2-022,,,,
023_pine_tree.png,소나무,일반,아주큼,"제한축 기준 목표 942px (약 92%, 허용 90–94%)",짧고 굵은 갈색 줄기 위로 둥글고 층이 진 초록색 솔잎 덩어리가 펼쳐진 소나무 한 그루. 가지 구조는 단순하게 표현함.,"짙은 초록색, 밝은 초록색, 갈색",정면,CSV 2,023,csv2-023,,,,
024_ladybug.png,무당벌레,일반,아주작음,"제한축 기준 목표 205px (약 20%, 허용 18–22%)",둥근 빨간 등껍질에 검은 점이 여러 개 있고 작은 검은 머리와 짧은 더듬이 두 개가 있는 무당벌레 한 마리.,"빨간색, 검정색, 흰색 포인트",살짝 위에서 바라본 정면,CSV 2,024,csv2-024,,,,
025_squirrel.png,다람쥐,일반,작음,"제한축 기준 목표 384px (약 37.5%, 허용 35–40%)","작은 몸과 둥근 귀, 짧은 앞발, 몸 뒤로 크게 말려 올라간 풍성한 꼬리를 가진 다람쥐 한 마리. 얼굴은 실제 특징을 단순화해 표현함.","주황색, 갈색, 베이지색, 검정색 포인트",측면 3/4 시점,CSV 2,025,csv2-025,,,,
026_ice_cream_cone.png,아이스크림,콘 형태,작음,"제한축 기준 목표 384px (약 37.5%, 허용 35–40%)",와플 무늬가 단순하게 그려진 원뿔형 콘 위에 둥근 아이스크림 두 덩이가 올라간 아이스크림 한 개. 녹아내리는 표현은 없음.,"분홍색, 연한 노란색, 베이지색, 갈색 포인트",정면 3/4 시점,CSV 2,026,csv2-026,,,,
027_fish_bread.png,붕어빵,일반,아주작음,"제한축 기준 목표 205px (약 20%, 허용 18–22%)","물고기 모양의 통통한 붕어빵 한 개. 둥근 눈 하나와 비늘, 지느러미 무늬가 얕은 선으로 단순하게 새겨져 있음.","황금색, 주황색, 갈색 포인트",측면 3/4 시점,CSV 2,027,csv2-027,,,,
028_chocolate_donut.png,초코도넛,초콜릿 코팅,아주작음,"제한축 기준 목표 205px (약 20%, 허용 18–22%)",가운데 구멍이 뚫린 둥근 도넛 한 개. 윗면에는 두꺼운 초콜릿 코팅이 불규칙하게 덮여 있고 작은 색깔 토핑 몇 개만 있음.,"짙은 갈색, 베이지색, 분홍색과 노란색 포인트",살짝 위에서 바라본 3/4 시점,CSV 2,028,csv2-028,,,,
029_strawberry_milk.png,딸기우유,우유갑 형태,작음,"제한축 기준 목표 384px (약 37.5%, 허용 35–40%)",윗부분이 접힌 작은 종이 우유갑 한 개. 글자나 상표 없이 앞면에 단순한 딸기 그림 하나만 있고 빨대는 없음.,"분홍색, 흰색, 빨간색, 초록색 포인트",정면 3/4 시점,CSV 2,029,csv2-029,,,,
001_smartphone.png,전화기,스마트폰형,작음,"제한축 기준 목표 384px (약 37.5%, 허용 35–40%)",둥근 모서리의 얇은 직사각형 스마트폰 한 대. 앞면에는 검은 화면과 위쪽의 작은 스피커 구멍만 있고 글자나 앱 아이콘은 없음.,"하늘색, 짙은 회색, 검정색, 흰색 포인트",정면 3/4 시점,CSV 3,001,csv3-001,,,,
002_desk_phone.png,전화기,버튼형 유선전화,작음,"제한축 기준 목표 384px (약 37.5%, 허용 35–40%)",숫자 글자 없이 둥근 버튼들이 배열된 가정용 유선전화 한 대. 본체 위에 굽은 수화기가 놓이고 짧게 말린 전화선이 연결되어 있음.,"연한 노란색, 주황색, 짙은 회색 포인트",정면 3/4 시점,CSV 3,002,csv3-002,,,,
004_digital_camera.png,카메라,디지털카메라,작음,"제한축 기준 목표 384px (약 37.5%, 허용 35–40%)","손에 들기 좋은 작은 직사각형 디지털카메라 한 대. 앞면의 돌출된 둥근 렌즈와 위쪽 셔터 버튼, 짧은 손목끈이 있음.","분홍색, 짙은 회색, 검정색, 하늘색 포인트",정면 3/4 시점,CSV 3,004,csv3-004,,,,
005_vertical_traffic_light.png,신호등,세로형,큼,"제한축 기준 목표 824px (약 80.5%, 허용 78–83%)","둥근 모서리의 세로형 신호등 한 개. 원형 불 세 개가 위에서부터 빨강, 노랑, 초록 순서로 놓이고 짧은 기둥이 아래에 붙어 있음.","검정색, 빨간색, 노란색, 초록색",정면,CSV 3,005,csv3-005,,,,
007_wired_headphones.png,헤드폰,유선형,작음,"제한축 기준 목표 384px (약 37.5%, 허용 35–40%)",머리 위를 감싸는 둥근 밴드와 양쪽의 푹신한 귀 덮개가 있는 헤드폰 한 개. 한쪽 귀 덮개 아래에서 긴 검은 선과 작은 플러그가 이어짐.,"빨간색, 분홍색, 검정색, 회색 포인트",정면 3/4 시점,CSV 3,007,csv3-007,,,,
010_mesh_trash_bin.png,휴지통,망사형,보통,"제한축 기준 목표 742px (약 72.5%, 허용 70–75%)",윗부분이 열린 원통형 철망 휴지통 한 개. 몸통 전체에 성긴 마름모 구멍 무늬가 있고 안은 비어 있음.,"짙은 회색, 검정색, 하늘색 포인트",살짝 위에서 바라본 3/4 시점,CSV 3,010,csv3-010,,,,
011_tv_remote.png,리모컨,텔레비전용,작음,"제한축 기준 목표 384px (약 37.5%, 허용 35–40%)","길쭉하고 둥근 직사각형 텔레비전 리모컨 한 개. 위쪽의 둥근 전원 버튼과 가운데의 큰 방향 버튼, 아래쪽의 작은 버튼들이 글자 없이 배치됨.","검정색, 짙은 회색, 빨간색, 하늘색 포인트",살짝 위에서 바라본 정면,CSV 3,011,csv3-011,,,,
014_compact_keyboard.png,키보드,미니 무선형,작음,"제한축 기준 목표 384px (약 37.5%, 허용 35–40%)",숫자판 없이 폭이 짧고 얇은 무선 키보드 한 개. 둥근 사각형 키들이 촘촘히 놓이고 선이나 글자는 없음.,"연한 분홍색, 흰색, 짙은 회색 포인트",살짝 위에서 바라본 3/4 시점,CSV 3,014,csv3-014,,,,
016_desktop_speaker.png,스피커,탁상용 상자형,보통,"제한축 기준 목표 742px (약 72.5%, 허용 70–75%)",둥근 모서리의 세로형 탁상 스피커 한 개. 앞면에 큰 원형 우퍼와 작은 원형 소리판이 위아래로 놓이고 아래에 조절 손잡이 하나가 있음.,"짙은 초록색, 검정색, 하늘색 포인트",정면 3/4 시점,CSV 3,016,csv3-016,,,,
017_upright_vacuum.png,청소기,스틱형,큼,"제한축 기준 목표 824px (약 80.5%, 허용 78–83%)",길고 곧은 손잡이 아래에 작은 먼지통과 넓적한 바닥 흡입구가 연결된 스틱 청소기 한 대. 전선은 없음.,"보라색, 분홍색, 짙은 회색, 하늘색 포인트",측면 3/4 시점,CSV 3,017,csv3-017,,,,
018_robot_vacuum.png,청소기,로봇형,보통,"제한축 기준 목표 742px (약 72.5%, 허용 70–75%)",낮고 둥근 원반 모양의 로봇청소기 한 대. 윗면에 작은 원형 센서와 버튼 하나가 있고 옆면 아래로 짧은 솔이 조금 보임.,"흰색, 하늘색, 짙은 회색, 검정색 포인트",살짝 위에서 바라본 3/4 시점,CSV 3,018,csv3-018,,,,
019_tissue_box.png,화장지,각티슈형,작음,"제한축 기준 목표 384px (약 37.5%, 허용 35–40%)",둥근 모서리의 직사각형 티슈 상자 한 개. 윗면의 타원형 구멍에서 부드러운 화장지 한 장이 위로 뽑혀 나온 모습이며 상표나 글자는 없음.,"연한 노란색, 흰색, 주황색 포인트",정면 3/4 시점,CSV 3,019,csv3-019,,,,
020_toilet_paper_roll.png,화장지,두루마리형,아주작음,"제한축 기준 목표 205px (약 20%, 허용 18–22%)",가운데 둥근 심이 보이는 두루마리 화장지 한 개. 바깥쪽 종이 끝이 짧게 풀려 바닥 방향으로 부드럽게 내려옴.,"흰색, 연한 하늘색, 회색 포인트",정면 3/4 시점,CSV 3,020,csv3-020,,,,
021_handheld_sharpener.png,연필깎이,휴대용,아주작음,"제한축 기준 목표 205px (약 20%, 허용 18–22%)",손가락으로 잡는 작은 쐐기 모양 연필깎이 한 개. 앞쪽에 둥근 연필 구멍 하나와 위쪽의 짧은 칼날 모양만 단순하게 보임.,"빨간색, 노란색, 은회색, 검정색 포인트",살짝 위에서 바라본 3/4 시점,CSV 3,021,csv3-021,,,,
022_crank_sharpener.png,연필깎이,손잡이형,작음,"제한축 기준 목표 384px (약 37.5%, 허용 35–40%)",책상 위에 놓는 둥근 사각형 연필깎이 한 개. 앞면에 연필을 넣는 둥근 구멍이 있고 옆면에는 돌리는 짧은 손잡이가 달려 있음.,"하늘색, 짙은 파란색, 회색, 노란색 포인트",정면 3/4 시점,CSV 3,022,csv3-022,,,,
023_gooseneck_desk_lamp.png,탁상조명,목이 휘는 형태,보통,"제한축 기준 목표 742px (약 72.5%, 허용 70–75%)",작고 둥근 받침에서 가느다란 목이 부드럽게 휘어 올라간 탁상조명 한 개. 끝에는 아래를 향한 작은 원뿔형 전등갓이 있음.,"연두색, 짙은 초록색, 노란색 포인트",측면 3/4 시점,CSV 3,023,csv3-023,,,,
024_shade_desk_lamp.png,탁상조명,갓 달린 형태,보통,"제한축 기준 목표 742px (약 72.5%, 허용 70–75%)",둥근 받침과 곧은 짧은 기둥 위에 넓은 사다리꼴 천 갓이 씌워진 탁상조명 한 개. 갓 아래로 전구의 노란빛 부분이 조금 보임.,"분홍색, 베이지색, 노란색, 갈색 포인트",정면 3/4 시점,CSV 3,024,csv3-024,,,,
025_fire_extinguisher.png,소화기,일반,보통,"제한축 기준 목표 742px (약 72.5%, 허용 70–75%)",둥근 원통형 몸통 위에 검은 손잡이와 압력계가 달린 소화기 한 개. 옆에는 짧은 검은 호스가 몸통을 따라 내려오며 글자나 표시는 없음.,"빨간색, 검정색, 노란색, 회색 포인트",정면 3/4 시점,CSV 3,025,csv3-025,,,,
026_first_aid_kit.png,구급상자,손잡이형,작음,"제한축 기준 목표 384px (약 37.5%, 허용 35–40%)",둥근 모서리의 직사각형 구급상자 한 개. 위쪽에 짧은 손잡이가 있고 앞면에는 글자 없이 단순한 흰색 십자 모양만 있음.,"빨간색, 흰색, 짙은 회색 포인트",정면 3/4 시점,CSV 3,026,csv3-026,,,,
