id,output_filename,object_name,variant,subject_description,primary_colors,view,canvas_size,canvas_occupancy,reference_image
011,011_travel_suitcase_hidden_vintage_trunk.png,여행가방,히든 · 빈티지 가죽 트렁크,"모서리가 둥근 가로형 갈색 가죽 트렁크 한 개. 위쪽에는 짧은 손잡이, 앞면에는 굵은 가죽 띠 두 줄과 금속 잠금장치 두 개, 네 모서리에는 덧댄 가죽 보호대가 있음. 바퀴 달린 현대식 캐리어형 일반 디자인과 구조가 확실히 다르며 글자와 스티커는 없음.","짙은 갈색, 황갈색, 금색, 크림색 포인트",정면 3/4 시점,큼,제한축 기준 약 78–83% (보통의 약 1.1배),
012,012_toy_car_hidden_dump_truck.png,장난감자동차,히든 · 덤프트럭형,"짧고 통통한 운전석과 큰 바퀴 네 개, 뒤쪽에 위아래로 기울일 수 있는 큼직한 적재함이 있는 장난감 덤프트럭 한 대. 낮은 경주용 자동차형 일반 디자인과 차체 구조가 확실히 다르며 적재함은 비어 있고 글자, 번호, 로고는 없음.","노란색, 주황색, 하늘색, 검정색, 회색 포인트",측면 3/4 시점,작음,제한축 기준 약 35–40% (보통의 약 1/2),
013,013_macaron_hidden_bear_face.png,마카롱,히든 · 곰 얼굴형,"둥근 마카롱 껍질 위쪽에 작은 반원형 곰 귀 두 개가 붙고 앞면에는 짧은 선으로 그린 두 눈과 코, 입이 있는 곰 얼굴 마카롱 한 개. 두 껍질 사이에는 도톰한 초콜릿 크림이 보임. 일반 원형 마카롱과 외곽 실루엣과 얼굴 장식이 확실히 다르며 글자와 포장지는 없음.","비스킷 베이지색, 연한 갈색, 초콜릿 갈색, 분홍색 포인트",정면 3/4 시점,아주작음,제한축 기준 약 18–22% (보통의 약 1/4),
014,014_terrarium_hidden_hanging_geometric.png,테라리움,히든 · 행잉 기하학형,"가느다란 금색 금속 프레임과 여러 장의 투명 유리판으로 이루어진 매달린 다면체 테라리움 한 개. 위쪽 꼭짓점에는 짧은 고리와 체인이 있고 내부에는 둥근 이끼, 작은 고사리, 크림색 버섯 두 개, 보라색 수정 한 조각이 한 덩어리로 담겨 있음. 나무 받침 유리 돔형 일반 디자인과 외곽 구조가 확실히 다르며 배경과 글자는 없음.","금색, 연한 하늘색, 밝은 초록색, 크림색, 보라색, 짙은 갈색",살짝 위에서 바라본 정면 3/4 시점,보통,제한축 기준 약 70–75% (균형적인 기본 크기),
015,015_cactus_hidden_mexican_character.png,선인장,히든 · 멕시칸 캐릭터형,"키가 크고 굵은 기둥 몸통과 위로 굽은 양팔을 가진 큰 사막 선인장 한 개. 꼭대기에는 챙이 매우 넓고 알록달록한 멕시칸 모자가 씌워져 있고 몸통 앞면에는 짧은 검은 선으로 단순한 두 눈과 웃는 입이 그려져 있음. 아래에는 사막 느낌을 주는 작은 모래와 돌 받침만 하나의 구성으로 붙어 있음. 화분형 일반 디자인과 실루엣이 확실히 다르며 참고 이미지의 자세와 모자 형태를 반영하되 콧수염, 사람, 글자, 배경은 없음.","밝은 초록색, 짙은 초록색, 빨간색, 노란색, 하늘색, 모래색, 검정색 포인트",정면 3/4 시점,작음,제한축 기준 약 35–40% (보통의 약 1/2),선인장히든.png
016,016_lunchbox_hidden_bear_omelet_rice.png,도시락,히든 · 곰돌이 오므라이스형,"뚜껑이 열린 둥근 모서리의 도시락 한 개. 중앙에는 노란 달걀지단으로 감싼 오므라이스가 있고, 윗부분에는 갈색 볶음밥으로 만든 둥근 곰 얼굴과 작은 귀 두 개가 이어져 있음. 곰 얼굴에는 치즈로 만든 밝은 주둥이와 김으로 만든 단순한 눈·코·입이 있으며 달걀지단 위에는 빨간 케첩이 굵은 물결 한 줄로 올라감. 주변은 방울토마토와 브로콜리 같은 녹색 채소로 장식함. 참고 이미지의 귀여운 곰 오므라이스 구성을 반영하되 캐릭터 로고, 글자, 포장지는 없음.","노란색, 따뜻한 갈색, 빨간색, 밝은 초록색, 흰색, 검정색 포인트",살짝 위에서 바라본 3/4 시점,작음,제한축 기준 약 35–40% (보통의 약 1/2),도시락히든.png
017,017_sunglasses_hidden_black_narrow_frame.png,선글라스,히든 · 젠틀몬스터풍 좁은 사각형,"가로로 길고 세로로 좁은 직사각형 검정 렌즈 두 개와 두꺼운 유광 검정 테두리, 넓고 각진 양쪽 안경다리가 있는 패션 선글라스 한 개. 참고 이미지처럼 코받침 부분이 낮고 전체 실루엣이 날렵하며 일반 둥근 렌즈형 디자인과 확실히 다름. 특정 제품을 그대로 복제하지 않고 글자, 상표, 로고, 금속 장식은 없음.","검정색, 짙은 회색, 흰색 포인트",정면 3/4 시점,작음,제한축 기준 약 35–40% (보통의 약 1/2),선글라스히든.png
018,018_magic_wand_hidden_winged_star.png,마법봉,히든 · 날개 달린 별 원형봉,"길고 가느다란 분홍색 막대 끝에 두꺼운 분홍색 원형 테두리가 있고, 원 안에는 큼직한 금색 별 하나가 들어간 마법봉 한 자루. 원 양옆에는 작은 흰색 날개가 펼쳐지고 원 아래에는 둥근 빨간 보석과 짙은 갈색 마름모 장식이 이어짐. 참고 이미지와 카드캡터체리풍 핵심 구성을 반영하되 특정 문양을 정밀 복제하지 않고 광선, 작은 별 이펙트, 손, 글자, 로고는 없음.","진한 분홍색, 금색, 흰색, 빨간색, 짙은 갈색 포인트",정면에서 살짝 기울어진 대각선 시점,작음,제한축 기준 약 35–40% (보통의 약 1/2),마법봉히든.png
019,019_wool_hat_hidden_nordic_earflap.png,털모자,히든 · 노르딕 귀덮개형,"머리 양옆을 덮는 둥근 귀덮개와 귀덮개 아래로 길게 내려오는 땋은 끈 두 줄, 끈 끝의 작은 술 장식이 있는 노르딕 스타일 털모자 한 개. 몸통에는 눈송이와 지그재그를 닮은 단순한 반복 무늬 띠가 있고 방울 비니형 일반 디자인과 실루엣이 확실히 다름. 글자와 로고는 없음.","크림색, 짙은 빨간색, 남색, 하늘색 포인트",정면 3/4 시점,작음,제한축 기준 약 35–40% (보통의 약 1/2),
020,020_wristwatch_hidden_silver_ultra_smartwatch.png,손목시계,히든 · 실버 울트라 스마트워치형,"모서리가 둥근 큼직한 사각형 은색 프레임과 위아래로 이어진 두꺼운 은색 손목 밴드가 있는 애플워치 울트라풍 스마트 손목시계 한 개. 프레임 오른쪽에는 큼직한 원형 크라운과 짧은 버튼이 돌출되고 반대쪽에는 작은 주황색 버튼 하나가 있음. 화면은 짙은 단색으로 비워 두어 글자, 숫자, 앱 아이콘, 로고가 없으며 둥근 아날로그형 일반 디자인과 실루엣이 확실히 다름.","은색, 연한 회색, 짙은 남색, 주황색 포인트",정면 3/4 시점,아주작음,제한축 기준 약 18–22% (보통의 약 1/4),
021,021_milk_hidden_vintage_cart.png,우유,히든 · 빈티지 밀크 카트형,"커다란 빨간 바퀴 두 개와 앞쪽의 긴 손잡이가 달린 나무 빈티지 밀크 카트 한 대. 낮은 나무 적재함 안에는 둥근 뚜껑과 손잡이가 있는 은색 우유 캔 세 개가 단단히 모여 담겨 있음. 참고 이미지의 농장용 우유 운반 카트와 금속 캔 구조를 반영하되 녹, 글자, 간판, 상표, 로고는 없음. 종이 우유팩형 일반 디자인과 실루엣이 확실히 다름.","밝은 나무색, 빨간색, 은색, 회색, 크림색 포인트",살짝 위에서 바라본 측면 3/4 시점,큼,제한축 기준 약 78–83% (보통의 약 1.6배),우유히든-main.png; 우유히든-sub.png
022,022_ring_hidden_diamond.png,반지,히든 · 다이아몬드 반지,"가느다란 은색 원형 고리 위에 육각형으로 단순화된 큼직한 투명 다이아몬드 하나가 여러 갈래의 짧은 발로 고정된 약혼반지 한 개. 하트 보석 반지형 일반 디자인과 보석 형태와 금속 색이 확실히 다르며 손, 상자, 광선, 글자는 없음.","은색, 연한 하늘색, 흰색, 검정색 포인트",정면 3/4 시점,아주작음,제한축 기준 약 18–22% (보통의 약 1/4),
023,023_turtle_hidden_sea_turtle.png,거북이,히든 · 바다거북,"넓고 납작한 타원형 등딱지와 노처럼 길게 펼쳐진 앞지느러미 두 개, 짧은 뒷지느러미 두 개, 작게 내민 둥근 머리가 있는 바다거북 한 마리. 지느러미를 좌우로 펼쳐 헤엄치는 자세이며 걷는 육지거북형 일반 디자인과 실루엣이 확실히 다름. 바닷물, 거품, 바닥, 동료 동물은 없음.","청록색, 짙은 초록색, 연두색, 갈색 포인트",살짝 위에서 바라본 정면 3/4 시점,아주큼,제한축 기준 약 90–94% (가장자리 여백만 남김),
024,024_map_hidden_world_map.png,지도,히든 · 세계 지도,"가로로 넓게 완전히 펼쳐진 직사각형 세계 지도 한 장. 참고 이미지처럼 파란 바다 위에 북아메리카, 남아메리카, 유럽·아프리카, 아시아, 오세아니아의 대륙 실루엣이 서로 다른 밝은 색 덩어리로 한눈에 구분됨. 국가 경계는 최소한의 짧은 선으로만 단순화하고 글자, 국가명, 도시명, 숫자, 국기, 로고는 없음. 말린 보물지도형 일반 디자인과 구조가 확실히 다름.","하늘색, 파란색, 연두색, 노란색, 주황색, 분홍색, 크림색",살짝 위에서 바라본 정면,큼,제한축 기준 약 78–83% (보통의 약 1.1배),지도히든.png
025,025_footprints_hidden_dinosaur.png,발자국,히든 · 공룡 발자국,"앞쪽으로 길고 굵게 뻗은 발가락 세 개와 둥근 뒤꿈치가 있는 커다란 공룡 발자국 세 개가 짧게 굽은 경로를 이루는 하나의 흔적. 신발 밑창형 일반 디자인과 발가락 실루엣이 확실히 다르며 공룡 본체, 바닥, 흙먼지, 식물, 속도선은 없음.","짙은 갈색, 황갈색, 짙은 초록색 포인트",살짝 위에서 바라본 정면,작음,제한축 기준 약 35–40% (보통의 약 1/2),
026,026_sketchbook_hidden_open_landscape.png,스케치북,히든 · 가로형 열린 그림 스케치북,"가로로 넓게 펼쳐진 스케치북 한 권. 가운데 접힌 선을 기준으로 흰 종이 두 장이 보이고 위쪽 가장자리에는 큼직한 검은 고리 스프링이 이어짐. 양쪽 페이지에는 알록달록하고 삐뚤빼뚤한 어린이 크레파스 그림으로 사람 두 명과 삼각 지붕 집 한 채, 작은 해와 잔디만 그려져 있음. 세로형 닫힌 일반 디자인과 상태와 실루엣이 확실히 다르며 읽을 수 있는 글자와 숫자는 없음.","흰색, 노란색, 빨간색, 하늘색, 초록색, 주황색, 검정색 포인트",살짝 위에서 바라본 정면,작음,제한축 기준 약 35–40% (보통의 약 1/2),
