id,output_filename,object_name,variant,subject_description,primary_colors,view,canvas_size,canvas_occupancy,recipe_id,merge_recipe,recipe_role,recipe_type
011,011_fantasy_terrarium.png,테라리움,빛나는 버섯 돔형 테라리움,"짙은 갈색 원형 나무 받침 위에 투명한 유리 돔이 씌워진 판타지 테라리움 한 개. 돔 안에는 촘촘한 초록 이끼와 고사리, 말린 새순 사이로 크림색과 노란색의 빛나는 버섯 여러 개가 자라고 중앙에는 작은 투명 수정 군집이 은은하게 빛남. 이끼 사이에는 작은 달팽이와 빨간 무당벌레가 보이고 버섯 위에는 호랑나비 한 마리가 앉아 있음. 유리 돔의 외곽과 반사는 연한 하늘색 선으로 단순하게 표현하고 마법사·사람·글자·주변 배경은 없음.","밝은 초록색, 청록색, 크림색, 노란색, 연한 하늘색, 보라색, 짙은 갈색",살짝 위에서 바라본 정면 3/4 시점,보통,제한축 기준 약 70–75% (균형적인 기본 크기),C014,버섯 + 달팽이 + 나뭇잎 + 호랑나비 + 크리스탈 + 무당벌레 = 테라리움,결과,직관형
012,012_snowflake.png,눈,눈 결정(snowflake),"정면에서 본 대칭적인 여섯 갈래의 눈 결정 한 개. 중심의 작은 육각형에서 굵고 단순한 얼음 가지 여섯 개가 같은 길이로 뻗고, 각 가지에는 짧은 갈래 두세 개만 반복되어 한눈에 눈송이로 보임. 흰색 면 안쪽에 연한 하늘색과 얼음색 음영을 최소한으로 넣음. 쌓인 눈, 눈더미, 눈사람, 얼굴, 장식, 바닥과 배경은 없음.","흰색, 얼음색, 아주 연한 하늘색, 하늘색 포인트",정면,보통,제한축 기준 약 70–75% (균형적인 기본 크기),C016,눈 + 크리스마스 트리 + 별 + 촛불 = 크리스마스 스노우볼,재료A,직관형
013,013_christmas_snow_globe.png,크리스마스 스노우볼,눈 내리는 마을 스노우볼,"투명한 둥근 유리 구와 낮은 짙은 갈색 나무 받침이 연결된 크리스마스 스노우볼 한 개. 유리 안 중앙에는 하얀 눈이 층층이 쌓인 큰 크리스마스 트리와 금색 별이 있고, 주변에는 빨간 지붕의 작은 집 두 채와 눈사람 한 개를 단순한 미니어처로 배치함. 트리 앞에는 짧은 촛불 두 개가 따뜻하게 빛나고 흰 눈송이가 유리 안에 흩날림. 태엽 손잡이, 오르골 구조, 글자, 로고와 주변 배경은 없음.","투명한 유리색, 짙은 초록색, 흰색, 빨간색, 금색, 주황색, 짙은 갈색",정면 3/4 시점,보통,제한축 기준 약 70–75% (균형적인 기본 크기),C016,눈 + 크리스마스 트리 + 별 + 촛불 = 크리스마스 스노우볼,결과,직관형
014,014_korean_clothing_repair_shop.png,옷 수선소,한국식 상점 미니어처,"한국 골목의 작은 1층 옷 수선 가게를 정면에서 본 미니어처 한 채. 파란색 천막형 지붕 아래에 미닫이 유리문과 넓은 진열창이 있고, 창 안에는 옷걸이에 걸린 하늘색 구멍 난 셔츠와 작은 다리미, 드럼 세탁기가 단순하게 보임. 간판 글자, 상호명, 사람, 거리 배경은 없음.","파란색, 하늘색, 크림색, 회색, 갈색, 노란색 포인트",정면 3/4 시점,아주큼,제한축 기준 약 90–94% (가장자리 여백만 남김),C019,구멍 난 셔츠 + 다리미 + 세탁기 + 옷걸이 = 옷 수선소,결과,직관형
015,015_top_spiral_sketchbook.png,스케치북,위쪽 스프링형,세로로 긴 직사각형 스케치북 한 권. 위쪽 가장자리에 큼직한 검은 고리 스프링이 여러 개 있고 앞표지는 무늬나 글자 없이 단색임.,"노란색, 주황색, 흰색, 검정색 포인트",살짝 위에서 바라본 정면,작음,제한축 기준 약 35–40% (보통의 약 1/2),C022,책가방 + 스케치북 + 색연필세트 + 연필깎이 = 미술학원 가방,재료B,직관형
016,016_boxed_colored_pencil_set.png,색연필세트,종이상자형,윗부분이 열린 납작한 종이 상자 안에 길이가 같은 색연필 여러 자루가 가지런히 꽂힌 색연필 세트 한 개. 연필의 뾰족한 색심이 여러 색으로 보이며 글자는 없음.,"빨간색, 노란색, 초록색, 하늘색, 보라색",정면 3/4 시점,작음,제한축 기준 약 35–40% (보통의 약 1/2),C022,책가방 + 스케치북 + 색연필세트 + 연필깎이 = 미술학원 가방,재료C,직관형
017,017_art_academy_bag.png,미술학원 가방,미술도구 책가방,앞주머니가 열린 노란색 책가방 한 개. 큰 수납칸에는 위쪽 스프링 스케치북이 반쯤 보이고 앞주머니에는 종이상자형 색연필 세트와 작은 휴대용 연필깎이가 가지런히 꽂혀 있음. 모든 도구는 가방 안에 자연스럽게 모여 있고 글자와 캐릭터 그림은 없음.,"노란색, 주황색, 빨간색, 초록색, 하늘색, 검정색 포인트",정면 3/4 시점,보통,제한축 기준 약 70–75% (균형적인 기본 크기),C022,책가방 + 스케치북 + 색연필세트 + 연필깎이 = 미술학원 가방,결과,직관형
018,018_bubble_solution_bottle.png,비눗방울통,일반,둥근 원통형 비눗방울 용기 한 개와 뚜껑에 연결되어 꺼내진 고리 막대가 하나의 자연스러운 세트로 놓인 모습. 용기에는 글자나 상표가 없음.,"연두색, 노란색, 하늘색, 흰색 포인트",정면 3/4 시점,작음,제한축 기준 약 35–40% (보통의 약 1/2),C028,고무장갑 + 샴푸통 + 화장지 + 비눗방울통 = 욕실 청소 세트,재료D,직관형
019,019_bathroom_cleaning_set.png,욕실 청소 세트,손잡이 청소 바구니,"둥근 손잡이가 있는 하늘색 플라스틱 청소 바구니 한 개. 안에는 노란 고무장갑 한 쌍, 펌프형 샴푸통, 흰 두루마리 화장지, 연두색 비눗방울통을 서로 구분되게 세워 담음. 모든 물건은 바구니 안에 자연스럽게 포함되고 글자와 상표는 없음.","하늘색, 노란색, 연두색, 흰색, 분홍색 포인트",살짝 위에서 바라본 3/4 시점,보통,제한축 기준 약 70–75% (균형적인 기본 크기),C028,고무장갑 + 샴푸통 + 화장지 + 비눗방울통 = 욕실 청소 세트,결과,직관형
020,020_handheld_portable_fan.png,휴대용선풍기,손잡이형,둥근 보호망 안에 짧고 넓은 날개 세 장이 있고 아래로 굵은 손잡이가 이어진 휴대용 선풍기 한 개. 손잡이 앞면에는 글자 없이 작은 둥근 버튼 하나만 있음.,"하늘색, 흰색, 짙은 회색 포인트",정면 3/4 시점,작음,제한축 기준 약 35–40% (보통의 약 1/2),C029,휴대용선풍기 + 어린이물병 + 선인장 + 햇빛 = 사막 생존 키트,재료A,비유형
021,021_straw_kids_water_bottle.png,어린이물병,투명 얼음 빨대형,"통통한 원통형의 투명한 어린이 물병 한 개. 투명한 몸통 안에 큼직한 얼음 조각 세네 개와 차가운 물이 또렷하게 보이고 표면에는 작은 물방울과 하늘색 반사선이 있어 시원한 느낌을 줌. 위에는 짧은 투명 빨대가 나온 하늘색 뚜껑과 작은 손잡이 고리가 있음. 과일, 캐릭터, 글자, 상표는 없음.","투명색, 얼음색, 하늘색, 흰색, 짙은 파란색 포인트",정면 3/4 시점,작음,제한축 기준 약 35–40% (보통의 약 1/2),C029,휴대용선풍기 + 어린이물병 + 선인장 + 햇빛 = 사막 생존 키트,재료B,비유형
022,022_desert_survival_kit.png,사막 생존 키트,휴대용 생존 가방,"뚜껑이 열린 베이지색 휴대용 생존 가방 한 개. 안에는 손잡이형 휴대용선풍기와 빨대형 어린이물병을 나란히 넣고, 앞주머니에는 작은 화분형 선인장과 노란 햇빛 모양 배지를 붙임. 모든 구성은 가방에 자연스럽게 연결되고 글자와 로고는 없음.","베이지색, 하늘색, 노란색, 초록색, 주황색 포인트",정면 3/4 시점,보통,제한축 기준 약 70–75% (균형적인 기본 크기),C029,휴대용선풍기 + 어린이물병 + 선인장 + 햇빛 = 사막 생존 키트,결과,비유형
023,023_sports_day_trophy.png,운동회 트로피,종합 운동 트로피,"양쪽 손잡이가 달린 금색 우승 트로피 한 개. 컵 위에는 작은 축구공이 올라가고 뒤쪽에는 배드민턴채 두 개가 X자로 교차하며, 컵 목 부분에는 빨간 리본의 금메달 하나가 걸려 있음. 모든 요소는 하나의 트로피 장식으로 연결되고 글자와 숫자는 없음.","금색, 빨간색, 흰색, 검정색, 하늘색 포인트",정면 3/4 시점,보통,제한축 기준 약 70–75% (균형적인 기본 크기),C031,축구공 + 배드민턴채 + 금메달 = 운동회 트로피,결과,비유형
024,024_magic_secret_book.png,마법 비밀책,잠긴 마법책,"둥근 모서리의 두꺼운 보라색 마법책 한 권. 책 가장자리를 두르는 금색 잠금띠 중앙에 작은 자물쇠가 달리고, 위쪽에는 흰 깃털 책갈피가 끼워져 있음. 표지에는 글자 없이 작은 별가루 점과 별 모양을 듬성듬성 배치하고 다른 장식은 최소화함.","보라색, 금색, 크림색, 하늘색, 분홍색 포인트",살짝 위에서 바라본 정면 3/4 시점,작음,제한축 기준 약 35–40% (보통의 약 1/2),C032,자물쇠 + 책 + 별가루 + 깃털 = 마법 비밀책,결과,비유형
025,025_wooden_door.png,문,나무 여닫이문(door),"둥근 윗모서리의 크림색 문틀 안에 갈색 나무 여닫이문 한 짝이 닫혀 있는 모습. 문은 세로 판과 단순한 사각 패널 두 칸으로 구성되고 한쪽에 작은 금색 둥근 손잡이가 있음. 벽, 바닥, 계단, 글자, 표지판은 없음.","갈색, 크림색, 금색 포인트",정면 3/4 시점,아주큼,제한축 기준 약 90–94% (가장자리 여백만 남김),C033,거울 + 별가루 + 문 + 마법봉 + 달 = 거울 속 마법문,재료C,비유형
026,026_magic_door_in_mirror.png,거울 속 마법문,나무 테두리 차원문,"문처럼 세로로 긴 아치형 전신거울 겸 차원문 한 개. 테두리는 두꺼운 짙은 갈색 나무 문틀처럼 단순한 패널과 둥근 꼭대기로 구성함. 내부에는 거울 반사나 실제 문짝 대신 보라색·짙은 파란색·청록색 빛이 중심을 향해 소용돌이치는 판타지 차원문을 채우고, 안쪽과 테두리 주변에 작은 별가루 반짝임을 몇 개만 배치함. 초승달 모양의 은은한 빛 하나를 포털 안쪽에 자연스럽게 녹여 넣음. 거미줄, 마법봉, 작은 문, 손잡이, 주변 숲과 배경은 그리지 않으며 글자와 로고는 없음.","짙은 갈색, 보라색, 짙은 파란색, 청록색, 흰색, 금색 포인트",정면 3/4 시점,큼,제한축 기준 약 78–83% (보통의 약 1.1배),C033,거울 + 별가루 + 문 + 마법봉 + 달 = 거울 속 마법문,결과,비유형
027,027_butter_biscuit.png,비스킷,직사각형 버터 비스킷,"모서리가 둥근 직사각형 버터 비스킷 한 개. 중앙은 따뜻한 황금빛 베이지색이며 가장자리는 조금 더 진한 갈색으로 구워진 테두리를 두르고, 윗면에는 작은 둥근 구멍 여섯 개와 얕은 테두리 홈만 단순하게 표현함. 크림, 초콜릿, 글자, 로고, 접시, 포장지는 없음.","황금빛 베이지색, 비스킷 갈색, 크림색 포인트",살짝 위에서 바라본 정면 3/4 시점,아주작음,제한축 기준 약 18–22% (보통의 약 1/4),C008,마카롱 + 초코도넛 + 아이스크림 + 비스킷 = 디저트 타워,재료D,직관형
028,028_glowing_fantasy_mushroom.png,버섯,빛나는 판타지 버섯,"짧고 통통한 크림색 줄기와 둥근 우산 모양의 노란색 갓이 있는 빛나는 판타지 버섯 한 송이. 갓 가장자리와 아래쪽에 연한 하늘색 빛을 아주 조금 넣고 표면에는 짧은 점 두세 개만 표현함. 얼굴, 흙, 이끼, 풀, 다른 버섯, 글자와 배경은 없음.","크림색, 노란색, 연한 하늘색 포인트",정면 3/4 시점,아주작음,제한축 기준 약 18–22% (보통의 약 1/4),C014,버섯 + 달팽이 + 나뭇잎 + 호랑나비 + 크리스탈 + 무당벌레 = 테라리움,재료A,직관형
029,029_purple_crystal_cluster.png,크리스탈,투명 보라 크리스탈 군집,"밑동이 하나로 이어진 크기가 다른 뾰족한 육각 기둥 서너 개로 이루어진 작은 투명 크리스탈 군집 한 개. 중심은 연한 보라색이고 모서리에는 하늘색과 흰색 반사면을 단순한 색면으로 넣어 투명하게 빛나는 느낌을 냄. 돌받침, 흙, 마법가루, 글자와 배경은 없음.","연한 보라색, 하늘색, 흰색 포인트",정면 3/4 시점,작음,제한축 기준 약 35–40% (보통의 약 1/2),C014,버섯 + 달팽이 + 나뭇잎 + 호랑나비 + 크리스탈 + 무당벌레 = 테라리움,재료E,직관형
